PhotoCanon11	ROSSO DI SERA, BEL TEMPO SI SPERA	null	45.21323	7.619619	16	12/03/12 18.44.19
gimmymich	Travelling	#Italy #milan #turin #venice #urbino #sicily #malta	45.07411	7.646847	16	10/03/12 19.10.02
daomumin		null	45.059166	7.655667	16	08/03/12 16.59.23
daomumin		null	45.059166	7.655667	16	12/03/12 19.11.24
daomumin		null	45.059166	7.655667	16	08/03/12 17.16.28
diegofornero (destino2003)	freedom	giardini cavour torino  march '12  All my hi-res shots are available under request at diegofornero[at]gmail.com  <b> <a href="https://www.facebook.com/diegofornerofotografia" rel="nofollow">CHECK MY FACEBOOK PAGE</a> <a href="http://www.diegofornero.it" rel="nofollow">CHECK MY WEBSITE</a>  </b>	45.063404	7.689016	16	07/03/12 17.08.11
I'MPRESSiONable	...	null	45.07292	7.68161	16	11/03/12 18.42.53
diegofornero (destino2003)	profilo torinese	Villa Genero Torino  march '12   <b> <a href="https://www.facebook.com/diegofornerofotografia" rel="nofollow">LIKE ME ON FB</a> <a href="http://www.diegofornero.it" rel="nofollow">www.diegofornero.it</a>  <a href="http://www.flickr.com/photos/destino2003/collections/72157625285628401/"> THIS IS MY CITY - SHOTS OF TURIN  <a href="http://www.flickr.com/photos/destino2003/sets/72157621081889232/">  VIEW MY TORINO STREET ART &amp; GRAFFITI REPORTAGE</a>  <a href="http://www.flickr.com/photos/destino2003/sets/72157622603378250/">VIEW MY FAV SHOTS</a>  <a href="http://www.flickr.com/photos/destino2003/sets/72157623116288813/">VIEW MY MOST INTERESTING</a>  [] <a href="http://flickrhivemind.net/User/destino2003/Interesting" rel="nofollow">destino's FHM</a> <a href="http://ihardlyknowher.com/destino2003/big" rel="nofollow">IHKH</a> <a href="https://plus.google.com/u/0/110851499638124159012/" rel="nofollow">GOOGLE PLUS</a> []  </a></b>	45.05792	7.710842	16	10/03/12 16.19.56
stefano.boffetta	vibrate	null	45.064037	7.702825	16	12/03/12 18.09.14
dimensione serramenti	fenix	TAGLIO TERMICO CON L'INSERIMENTO DI BARRETTE IN PVC CHE SEPARANO LA PARETE ESTERNA DA QUELLA INTERNA  	45.057335	7.648833	16	07/03/12 14.47.59
